time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,units,City
2014-01-19,19.6,,30.2,,,,,,,,,Pune
2014-01-19,25.0,,31.6,,,,,,,,,Solapur
2014-01-20,23.2,,29.7,,,,,,,,,Aurangabad
2014-01-20,24.9,,30.0,,,,,,,,,Mumbai
2014-01-20,21.5,,29.5,,,,,,,,,Nagpur
2014-01-20,22.1,,31.1,,,,,,,,,Pune
2014-01-20,25.3,,32.2,,,,,,,,,Solapur
2014-01-21,22.2,,27.8,,,,,,,,,Aurangabad
2014-01-21,24.4,,28.5,0.0,,,,,,,,Mumbai
2014-01-21,22.3,,30.2,,,,,,,,,Nagpur
2014-01-21,22.9,,28.6,,,,,,,,,Pune
2014-01-21,24.9,,30.8,,,,,,,,,Solapur
2014-01-22,22.2,,29.4,,,,,,,,,Aurangabad
2014-01-22,24.6,,29.3,,,,,,,,,Mumbai
2014-01-22,21.3,,28.5,,,,,,,,,Nagpur
2014-01-22,22.4,,30.0,,,,,,,,,Pune
2014-01-22,25.0,,30.8,,,,,,,,,Solapur
2014-01-23,22.1,,29.1,,,,,,,,,Aurangabad
2014-01-23,24.6,,30.0,,,,,,,,,Mumbai
2014-01-23,20.3,,26.6,0.0,,,,,,,,Nagpur
2014-01-23,22.6,,29.1,,,,,,,,,Pune
2014-01-23,23.4,,27.9,,,,,,,,,Solapur
2014-01-24,21.6,,27.6,9.9,,,,,,,,Aurangabad
2014-01-24,24.6,,29.5,,,,,,,,,Mumbai
2014-01-24,20.2,,27.1,,,,,,,,,Nagpur
2014-01-24,21.8,,29.2,,,,,,,,,Pune
2014-01-24,24.9,,30.4,,,,,,,,,Solapur
2014-01-25,21.7,,27.6,0.0,,,,,,,,Aurangabad
2014-01-25,26.6,,,,,,,,,,,Mumbai
2014-01-25,21.3,,28.9,,,,,,,,,Nagpur
2014-01-25,21.6,,29.9,,,,,,,,,Pune
2014-01-25,25.3,,32.0,,,,,,,,,Solapur
2014-01-26,21.8,,27.8,,,,,,,,,Aurangabad
2014-01-26,27.8,,34.8,,,,,,,,,Mumbai
2014-01-26,21.3,,,,,,,,,,,Nagpur
2014-01-26,21.6,,29.6,,,,,,,,,Pune
2014-01-26,24.8,,31.1,,,,,,,,,Solapur
2014-01-27,21.2,,28.7,,,,,,,,,Aurangabad
2014-01-27,28.5,,34.3,,,,,,,,,Mumbai
2014-01-27,20.1,,28.7,,,,,,,,,Nagpur
2014-01-27,20.2,,28.6,,,,,,,,,Pune
2014-01-27,22.8,,30.6,,,,,,,,,Solapur
2014-01-28,20.1,,28.5,,,,,,,,,Aurangabad
2014-01-28,27.2,,33.8,,,,,,,,,Mumbai
2014-01-28,19.4,,28.4,,,,,,,,,Nagpur
2014-01-28,18.6,,29.0,,,,,,,,,Pune
2014-01-28,22.2,,31.8,,,,,,,,,Solapur
2014-01-29,20.0,,28.3,,,,,,,,,Aurangabad
2014-01-29,26.8,,,,,,,,,,,Mumbai
2014-01-29,18.8,,28.6,,,,,,,,,Nagpur
2014-01-29,17.6,,29.1,,,,,,,,,Pune
2014-01-29,23.2,,31.6,,,,,,,,,Solapur
2014-01-30,20.5,,28.8,,,,,,,,,Aurangabad
2014-01-30,27.4,,34.9,,,,,,,,,Mumbai
2014-01-30,19.2,,28.7,,,,,,,,,Nagpur
2014-01-30,18.7,,29.6,,,,,,,,,Pune
2014-01-30,23.5,,31.0,,,,,,,,,Solapur
2014-01-31,20.0,,28.5,,,,,,,,,Aurangabad
2014-01-31,27.7,,34.4,,,,,,,,,Mumbai
2014-01-31,19.4,,28.4,,,,,,,,,Nagpur
2014-01-31,20.0,,29.2,,,,,,,,,Pune
2014-01-31,23.4,,30.8,,,,,,,,,Solapur
2014-02-01,21.0,,28.9,,,,,,,,,Aurangabad
2014-02-01,27.4,,34.7,,,,,,,,,Mumbai
2014-02-01,19.3,,29.2,,,,,,,,,Nagpur
2014-02-01,20.6,,29.3,,,,,,,,,Pune
2014-02-01,24.6,,31.4,,,,,,,,,Solapur
2014-02-02,21.7,,29.6,,,,,,,,,Aurangabad
2014-02-02,27.7,,33.9,,,,,,,,,Mumbai
2014-02-02,20.1,,30.0,,,,,,,,,Nagpur
2014-02-02,20.6,,29.3,,,,,,,,,Pune
2014-02-02,24.5,,32.2,,,,,,,,,Solapur
2014-02-03,22.2,,30.9,,,,,,,,,Aurangabad
2014-02-03,27.4,,34.3,,,,,,,,,Mumbai
2014-02-03,21.4,,31.7,,,,,,,,,Nagpur
2014-02-03,21.7,,31.3,,,,,,,,,Pune
2014-02-03,24.7,,32.8,,,,,,,,,Solapur
2014-02-04,22.7,,31.7,,,,,,,,,Aurangabad
2014-02-04,27.6,,33.3,,,,,,,,,Mumbai
2014-02-04,22.3,,32.5,,,,,,,,,Nagpur
2014-02-04,22.3,,32.3,,,,,,,,,Pune
2014-02-04,25.7,,34.6,,,,,,,,,Solapur
2014-02-05,23.1,,31.6,,,,,,,,,Aurangabad
2014-02-05,27.2,,34.0,,,,,,,,,Mumbai
2014-02-05,22.9,,,,,,,,,,,Nagpur
2014-02-05,20.8,,32.3,,,,,,,,,Pune
2014-02-05,25.8,,34.7,,,,,,,,,Solapur
2014-02-06,23.9,,32.6,,,,,,,,,Aurangabad
2014-02-06,25.6,,30.8,,,,,,,,,Mumbai
2014-02-06,23.3,,,,,,,,,,,Nagpur
2014-02-06,22.2,,34.0,,,,,,,,,Pune
2014-02-06,26.3,,35.1,,,,,,,,,Solapur
2014-02-07,24.4,,32.7,,,,,,,,,Aurangabad
2014-02-07,25.3,,,,,,,,,,,Mumbai
2014-02-07,24.2,,33.6,,,,,,,,,Nagpur
2014-02-07,21.7,,33.8,,,,,,,,,Pune
2014-02-07,26.9,,35.2,,,,,,,,,Solapur
2014-02-08,23.0,,31.6,,,,,,,,,Aurangabad
2014-02-08,24.1,,29.0,,,,,,,,,Mumbai
2014-02-08,23.3,,33.5,,,,,,,,,Nagpur
2014-02-08,21.3,,32.6,,,,,,,,,Pune
2014-02-08,26.6,,35.2,,,,,,,,,Solapur
2014-02-09,21.3,,29.6,,,,,,,,,Aurangabad
2014-02-09,23.2,,28.1,,,,,,,,,Mumbai
2014-02-09,22.8,,33.2,,,,,,,,,Nagpur
2014-02-09,19.8,,30.3,,,,,,,,,Pune
2014-02-09,25.2,,34.6,,,,,,,,,Solapur
2014-02-10,21.4,,29.1,,,,,,,,,Aurangabad
2014-02-10,23.9,,29.2,,,,,,,,,Mumbai
2014-02-10,21.9,,,,,,,,,,,Nagpur
2014-02-10,19.6,,30.1,,,,,,,,,Pune
2014-02-10,23.7,,33.2,,,,,,,,,Solapur
2014-02-11,21.9,,28.9,,,,,,,,,Aurangabad
2014-02-11,23.5,,28.0,,,,,,,,,Mumbai
2014-02-11,22.0,,31.2,,,,,,,,,Nagpur
2014-02-11,20.2,,30.6,,,,,,,,,Pune
2014-02-11,24.2,,33.8,,,,,,,,,Solapur
2014-02-12,22.2,,30.1,,,,,,,,,Aurangabad
2014-02-12,23.4,,28.0,,,,,,,,,Mumbai
2014-02-12,22.6,,29.1,,,,,,,,,Nagpur
2014-02-12,21.2,,31.3,,,,,,,,,Pune
2014-02-12,25.5,,34.2,,,,,,,,,Solapur
2014-02-13,23.0,,28.9,,,,,,,,,Aurangabad
2014-02-13,24.4,,28.0,,,,,,,,,Mumbai
2014-02-13,24.1,,29.7,,,,,,,,,Nagpur
2014-02-13,20.7,,28.2,,,,,,,,,Pune
2014-02-13,24.8,,31.6,,,,,,,,,Solapur
2014-02-14,20.7,,26.3,,,,,,,,,Aurangabad
2014-02-14,24.1,,27.9,,,,,,,,,Mumbai
2014-02-14,23.2,,30.7,,,,,,,,,Nagpur
2014-02-14,19.9,,26.9,,,,,,,,,Pune
2014-02-14,24.2,,31.6,,,,,,,,,Solapur
2014-02-15,19.8,,27.1,,,,,,,,,Aurangabad
2014-02-15,21.5,,26.3,,,,,,,,,Mumbai
2014-02-15,22.2,,31.2,0.0,,,,,,,,Nagpur
2014-02-15,19.4,,27.5,,,,,,,,,Pune
2014-02-15,24.3,,31.0,,,,,,,,,Solapur
2014-02-16,19.2,,25.5,,,,,,,,,Aurangabad
2014-02-16,22.9,,28.0,0.0,,,,,,,,Mumbai
2014-02-16,20.4,,27.2,,,,,,,,,Nagpur
2014-02-16,18.6,,27.1,,,,,,,,,Pune
2014-02-16,22.9,,29.5,,,,,,,,,Solapur
2014-02-17,19.6,,27.1,,,,,,,,,Aurangabad
2014-02-17,25.2,,32.3,,,,,,,,,Mumbai
2014-02-17,18.9,,26.8,,,,,,,,,Nagpur
2014-02-17,18.2,,27.3,,,,,,,,,Pune
2014-02-17,23.5,,31.1,,,,,,,,,Solapur
2014-02-18,19.9,,28.7,,,,,,,,,Aurangabad
2014-02-18,26.9,,34.2,,,,,,,,,Mumbai
2014-02-18,18.7,,27.5,,,,,,,,,Nagpur
2014-02-18,18.9,,29.2,,,,,,,,,Pune
2014-02-18,24.7,,33.2,,,,,,,,,Solapur
2014-02-19,22.3,,30.7,,,,,,,,,Aurangabad
2014-02-19,27.4,,35.0,,,,,,,,,Mumbai
2014-02-19,19.7,,,,,,,,,,,Nagpur
2014-02-19,21.6,,32.5,,,,,,,,,Pune
2014-02-19,25.8,,33.6,,,,,,,,,Solapur
2014-02-20,25.0,,32.5,,,,,,,,,Aurangabad
2014-02-20,25.7,,31.5,,,,,,,,,Mumbai
2014-02-20,22.4,,,,,,,,,,,Nagpur
2014-02-20,24.2,,33.1,,,,,,,,,Pune
